computer_No,department,user,computer_name,ip,processor,MOBO,power_supply,ram,SSD,OS
12,BMS,RMSantiago,LENOVO_LAPTOP05,192.168.1.36,Intel Core i5-8250U CPU @ 1.60GHz,x,x,DDR4 16GB,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
13,BMS,ACVanguardia,LENOVO_WKS07,192.168.1.37,Intel Core i5-7500 CPU @ 3.40Ghz,Lenovo IB250MH,Huntkey 180W,Samsung DDR3 8GB,HIKSEMI 512GB SSD,Windows 10 Pro 64-bit
14,EMD,GBCarpena,LENOVO_LAPTOP04,192.168.1.127,Intel Core i5-8250U CPU @ 1.60GHz,x,x,DDR4 16GB,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
15,EMD,RCBautista,LENOVO_WKS13,192.168.1.137,Intel Core i7-9700U CPU @ 3.00GHz,Lenovo I3XOMS,Acbcl 60Hz,DDR4 8GB,Hikvision SSD 512GB,Windows 10 Pro 64-bit
16,EMD,REbale,ACER_LAPTOP04,192.168.1.42,Intel Core i3-7100 CPU @ 2.40GHz,x,x,DDR4 8GB,Samsung SSD 500GB,Windows 10 Pro 64-bit
17,EMD,EMDGuest,EMD_WKS01,192.168.1.40,Intel Core i3-4170 CPU @ 3.70GHz,Asus H81M-D,Thermaltake 550W,8GB,HDD 500 GB ,Windows 10 Pro 64-bit
18,EMD,MBBagares,EMD_WKS02,192.168.1.41,Intel Core i3-4170 CPU @ 3.70GHz,Asus H81M-C,Generic 600W,Kingston DDR3 4GB,Western Digital HDD 500GB,Windows 10 Professional 64-bit
19,EMD,ASIlagan,LENOVO_WKS12,192.168.1.43,Intel Core i5-7500 CPU @ 3.40Ghz,Lenovo IB250MH,Huntkey 180W,Samsung DDR3 8GB,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
20,EMD,FSDeVilla,LENOVO_WKS14,192.168.1.44,Intel Core i7-9700U CPU @ 3.00GHz,Lenovo I3XOMS,Acbcl 60Hz,DDR4 8GB,Hikvision SSD 512GB,Windows 10 Pro 64-bit
21,EMD,RTCatipon,EMD_WKS03,192.168.1.45,Intel Core i3-4170 CPU @ 3.70GHz,Asus H81M-C,Supercool 750W,Kingston DDR3 8GB,Western Digital HDD 500GB,Windows 10 Pro 64-bit
22,HRD,TCDy,ACER_LAPTOP06,192.168.1.128,Intel® Core™ i5-1135G7,x,x,8GB Ram DDR4,SSD 500GB,Windows 10 Pro 64-bit
23,HRD,CDToledo,ACER_LAPTOP01,192.168.1.51,Intel Core i3-7100 CPU @ 3.90GHz,x,x,Kingston DDR4 8GB,Samsung SSD 500GB,Windows 10 Pro 64-bit
24,HRD,MMPega,LENOVO_WKS03,192.168.1.48,Intel Core i5-6500 CPU @ 3.20Ghz,Lenovo IB250MH,Huntkey 180W,DDR4 8GB,Samsung SSD 500GB,Windows 10 Pro 64-bit
25,HRD,MVBanaticla,HR_WKS02,192.168.1.49,Intel Core i3-4170 CPU @ 3.70GHz,Asus H81M-C,Switching 600W,Hyper X DDR3 4GB / kingston 2GB DDR3,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
26,HRD,ERDelRosario,HR_WKS03,192.168.1.50,Intel Core i3-4170 CPU @ 3.70GHz,Asus H81M-D,Generic 600W,8 GB,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
27,HRD,JPSavedra,LENOVO_WKS19,192.168.1.47,Intel Core i5-10400 CPU @ 2.90GHz,Lenovo I47OMS,Huntkey 180W,Samsung DDR4 8GB,HIKSEMI 500GB SSD,Windows 10 Pro 64-bit
